review_id,title_translated,content_translated
80877ac989fee57cd52b92256f3d11a0,I recommend,very good.super recommend.delivery always right.
317a22fbeac23df2d0e098bf85ab709b,great products,I haven't installed it yet but I really like it
de7648e683482829b3ac3ba3a4ae64a0,excellent lamp,Good product. Fast delivery. I recommend
72cc238a6aa8a5af88b0c17ebf469c95,arrived before the deadline,very good
d6050b36487220bdaccd334bb5ef4743,VERY GOOD AMERICAN,Great fast delivery THANK YOU
d8d62030afbc777000b61bdfc7312939,Package delivery,I think there should be a way to communicate with the company if the order happens not to be delivered
13e80f4d3fe96747729573b4a95484ab,Great!,The product arrived ahead of schedule.
b2afc68cb2d3f8cbf7bf956f76c0855c,BAD PRODUCT,PRODUCT ALREADY ARRIVED DEFECTIVE IT DIDN'T WORK ACCORDING TO MY NEEDS TO USE IT. UNFORTUNATELY LAST PURCHASE MY TOTALLY DISSATISFIED.
90ee8065d229642eab9c2ffe3b33b91d,Good,I recommend this store delivery straight
727fdc53d2891323aa72c4c79650c325,Very good,Great quality product
07405437bacbc37e029fe5f5e10cb4c3,Excellent,Great
ded7897490401f7aec8ce868a10fea17,yes would recommend,"well, that's what I expected."
43375ed8d561b2d0dec4486143cb871c,I recommend,Beautiful watch delivery on time
da9f8f6a08145c2d7c041e57a3f262be,notbuk cover,Came as advertised simple prettier.
db64106aff6c7180cb841937f43f5f44,Late delivery,I have not received the product...
d6b0a9e1cc2bd827de2f63af37710456,Bought 2 products,"I bought 2 products, they only sent 1 and they didn't give me any justification!"
30f2619843ddd4a19bbcb306669d2bf0,Very good,I just imagined the doll was bigger. but it's cool
02dae59a597c87b10313d8d7191a2dfa,Good,Very good.
4d59d6249215713bfda42353af53f255,Product delivered,Good product and delivered ahead of schedule.
eaeafb542d4447da454cf68e302ae2bf,Good,"I haven't used it on any trips yet, but it seems to be very good."
c27c301777803a6c53b4306aa298bfbd,Excellent,I love shopping at Lannister stores
b51d516182fbac0aacc8b086e803dcde,terrible,I received a fake product I want my money back
844f12cb44cb2c97b033854a64b4727a,Very good,"I received the product on time, all ok"
b62b86ff6108447c826efcf1b157168d,ARRIVED ON THE FIRST DAY,"I OPENED PROTOCOL FOR RETURNS, LOW QUALITY PRODUCT HAD A PROBLEM ON THE FIRST DAY OF USE.

lannister BECAME A FREE MARKET....6 REQUESTS 6 PROBLEMS"
6318842b0d533f35b17c4b1cfa7df5ea,all as promised,Delivery on time and as described on the website
48869ca20e2ca762cd6bdd880c8ccae5,Highly recommended,I was surprised by the effectiveness. Great attention.
0aad108b136bfe5d026d5aee9fb08323,The product is very good,"Thank you for the quality of the product, and for the delivery that was scheduled for 08/10 and arrived on 07/22. I loved. Congratulations."
869696516d580a0871642308af4301f2,Product delivered on time,I haven't used the product yet
6b2ec71624eb21ea03eb7cfbcfbb489a,Serious and Fast,Provision of high quality services
da56af7a9b34fdcf8819096258def9f6,Excellent,"It arrived before the expected date, I would recommend the stark store to my friends, congratulations."
f9d15d1ab33610f6fcda6aa6ab4c414d,Good product,I really liked
cb50716c99a5928ef74d3052408b77ed,Excellent,"Protudo arrived in great condition, and before the deadline!"
accb12fbc0a0fd74edb43caea51c87e9,delivered on time,Very satisfied I recommend
8b712cf2f200e83a1082ecd7bfc6e4f2,wrong product description,"the product description was wrong and I couldn't use the product, I asked for the cancellation 15 days ago and still haven't got a response"
22d2c8858b0c2a3536a1fae8f6b1a0f0,Approved,"Arrived a little early, that's good"
371a37ca26fc269601f5c60ba88f9535,Did not deliver on time.,"Without punctuality, there is no customer satisfaction."
ff2cf8c91feac0bc37e795daec9c77af,Satisfied with the purchase,"Satisfied with the acquisition and business.
Delivery on time, with product well packaged, with invoice, original box, warranty and user manual.
First impressions the watch is in perfect condition."
1b0193dec8f270afea83302dc238f7e6,Partial Delivery.,I made the purchase and payment for two units and received only one unit. Awaiting treatment.
c1bfb79b26ac2136da082c9acea0a97d,I recommend!,"Product arrived ahead of schedule, very well packaged by the supplier, without damage.

Product quality is very good."
36282fdbf0292498bb3b69523970b9e2,onyx side molding,great product
44bb8c2ad3bb9c2bb3552a034eeffc4c,drinking fountain,Good morning... I bought a metallic red drinking fountain... and I received a Pink drinking fountain... obs... my dog ​​is male...
49673f9eaf3b9b23234dc2c7301f5b95,defective product,"I bought 2 units of the product, it came damaged since the packaging is very weak, and it came with two holes in the bottom of the pan, due to the pressure that the dog put on top of it."
6ca11f1297156d3351a86c3b13b794b0,order canceled,Order was canceled and the store still sent the product. I returned the product and want a refund of the purchase on my credit card.
746bdd10d791a54478316cf3a246a3de,Great,"Product arrived on time, in perfect condition and came incredibly packaged. Really well packaged... It arrived without any scratches!"
60ef633993197390978284101385bbf7,Good watch bad delivery,"Quality product, very long delivery"
3b2d60e294fd05f9b84252474fe09c8a,Good,I really liked
944b53fe2aaad7bf9629a0843e1be401,Great product!!,"so far everything perfect, product and delivery on time"
0edf369d108dfc1f8b379c8891a3da90,I recommend,Everything is OK.
1bb3b0d6a428cfdcf089dacd86b2436c,delivered on time,Super recommend the products are beautiful!!
3547ade529a1b5a5e093456476b22c58,Wrong product,"I ordered two wallets. One came with a defect and the other came wrong, it's not the one I ordered.... I asked for a refund and I think that will go well."
6a4dfc5eeb7c30330534e09ee9b26ff3,excellent,product arrived before the established deadline.
36616d6d454efa4f7e3d4ae66699a318,Top,"Excellent arrived earlier than agreed, congratulations!"
95f8467982c03b0cc9eb587933347e63,I recommend,"DESPITE NOT HAVING A GOOD FINISH, THE PRODUCT IS VERY FUNCTIONAL."
089309332406b2ac838750c5e933181f,clarification,Good night in the purchase it says wireless 150mbs Multilaser plus 3g it would not have to come with the 3g modem that connects to the USB on it.
57207975f6a1d00f8df01557de65cb1e,Satisfied,Satisfied
34482d4f2e4c3414578e6db34362bdab,OK,"Very good, I recommend"
3620d6e5d561991af5ff9f6a8bdcc3c4,excellent,met expectations
4c473561a45ac9ea4ccf3868ffb8a75f,OK,Goods as ordered. It arrived before the deadline. I recommend!
ca4337c4d52184f5cf03f51cf7f38c7a,Beautiful !!!,"Congratulations to Loja Lannister and the partner, my product came well packaged and it is very beautiful and big just the way I wanted.
The brown color is as shown in the photo. I loved my pendant."
e9b1efcc9dd695b59c0dc9c52906c58f,I didn't receive the two products,I only received 1 perfume (H2O perfume). I have NOT received the Ototemo perfume yet. I'm worried because the order states that I received two perfumes!!!
ffca2b5c34b686feed1d2b2713b3ad07,I highly recommend,Wonderful
115f129f19b4976b3eabd65ed6901f0c,Defect,"The product arrived well before the deadline, but with a defect, it came broken in the place of making it fit. Very cute, but fragile. I tried to change it through the website and it didn't work."
b45bcde5e4d91ffef751d1f3788721c0,Everything is OK,still missing the cover
071a678bd71a9b375f6b4434d3d263eb,Good,Delivery was fast about the perfume is good but I've had better but for the value it's worth it
ee1753b925a39250e5abe7d3d2224ecc,Very good,Came on time and working very well.
a06e7c4f5bf7d2e92a196357f4105842,Delay in delivery date,I have already contacted Lannister by phone and they tell me that they will send the direct link with the partner so I can know details of the delivery of the account and that link did not come. Bad customer support
7c99c71186d357d0fdb2d03294a6f4b9,fast delivery,excellent
0791c771f1267190ec3ff08e214acb3f,Great,I would recommend this store. She arrived on time. and great merchandise
c020b491ced40eaa538c6490f36d2d61,Successful delivery,"Delivery made and the product is what I wanted, very good!!"
ad9c2612cc5ea378a403f3ba94cd22de,Agility,It arrived super fast and well packaged.
2e708b2a717a66f5a449f1fe68c1ae6e,Great,It arrived way ahead of schedule!
ff669e25464a56198854a4737c826a00,good finish,I haven't installed yet
11fb960b6f2005db554efcffcc3c1d88,I recommend very good,"Arrived before the expected date, all ok"
080797bb72a234058f3720ad871d7a25,super satisfied,Great product! Fast deadline !!!
2d7d90f87e8f6f549c7ddeedc381468f,Rocker 100,"Can't rate the product yet. I'm waiting for the Matrix and the buttons, also purchased on the Lannister Stores website.
I am surprised that the invoice for these products has not been issued."
a7f467c86ea301cda395bc932654aea8,Perfect,Delivery on time and product in excellent condition.
bf75a9ed323beab62cdfcedc8acb38cc,good safe,Safe with good internal space and shelf for easy organization. Good product.
08667b6077f24d86950b1642b5ca9632,very good,"arrived before the deadline, and the product is very good"
b1bcc5db3418b49a915e576111f169e1,X,X
61f158504f3f43c494bcf7ba02d254ca,Great product!,"Great product, very fast delivery!"
b06f6882b1c0bc82ddf057b58b86fe50,Very good,"Great, excellent product I recommend it to everyone"
73825c944419be59995fdf5755400ba0,exchange / return,"The online shopping experience and delivery were good, however the product did not meet expectations and I am having difficulties with the exchange / return."
0cff4436b45b97159e535b4e4dce44c2,Excellent,"Beautiful and personalized rug, embroidered around and with the classic logo, all PVC rubber, very good and easy to clean"
f425c943b7fe3d6e92476790215fab77,good finish,Well finished product 👍🏻
c45ae2cc19fa8d1ba41e539a48f7da5a,GOOD STORE,"GOOD STORE, FULFILLED EVERYTHING THAT WAS IN THE AD! DELIVERY WAS SUPER-FAST!"
ef8aa48087495ca0ecf32e3375e09d45,GOOD,"In general, the product is good, however, the sound comes out very low, which makes the product a medium quality product."
9a9299760da8c8f137d2a18d50ae7991,targaryen,The cover is very good for the cell phone but the film included is of very poor quality.
0cffe48417b97928c3cdaf4f44ce6463,Order not delivered,I can't rate what I didn't get
668fcfc39b15a8751fd9f9c3721c6533,excellent,Thank you very much
b46e9ea6cd78b7b167c866332d9db6a0,I recommend,"arrived, thank you
but the box, the packaging
crumpled and it's a gift."
5dd67a60f5b385f2cd698f6288dccc9d,Very good,"I loved the products, I just thought it was very bad to have to pay 2 shipping costs for the same product from the same seller"
ccd343b646110da75698e132fcfcb187,I recommend,On time delivery - Great
c66884522b6c22be174b8441affc7530,Super fast delivery,"lannister is to be congratulated, super fast delivery."
ccb7d16b309b58a778c864faec6c6118,It's Super Approved,"Great quality scale, has met my needs very efficiently."
2043259de03f7957f399d2f504539157,Product came different,Product came different than advertised. I called and just waiting for the code to return the product and refund the amount paid.
f4fd01c1cfb418150d139bc91a135482,Very good,"Delivery on time, I like it"
4bc94a13b4dc1784656510293278f37b,Delivery ahead of schedule,Great product. .. arrived earlier than expected.
848d5324b9cb5aa4cc0f6f357863c9eb,highly recommend.,"Great, everything worked out
grade 10."
b6b6afd5b6f92ffdf7c7775a565e7402,Excellent,Great product and arrived on time
52d021731969385ccacd81288c54d9e8,Party kit,"Excellent product, came blur perfectly, arrived ahead of schedule. I loved"
10088ea78751c26d9b0d0ccb6699586b,I recommend,Product arrived on time
fe575a484e2222ffe6707538d9f521be,very good,"Top quality product, congratulations."
499b0820814f9e7d1f7f50eb4d4bacfd,highly recommend,arrived before the deadline
bd90607f4a5e655bd1b13e545620eecc,Not received,It's taking a long time
39e26fedc226032fdf29e1145c1507a6,Excellent,I loved the product. Arrived before the deadline
ae41d0d7be484521ece44b404cebe419,Excellent,Fast delivery perfect product
ecd30ad71b1a6be967f483f490915fb1,You pay 2 and get 1,"THEFT! In the invoice there are 2 units but in the package there is only ONE.
Want to charge without delivering?"
3f1afec52931d1e5516e82fcd4bf4347,Great,I loved the product is the excellent purchase!
ea022eba0e8a99f752bbfb1eeb23182f,I RECOMMEND YES,"VERY GOOD VACUUM CLEANER, LIGHT AND EASY TO HANDL!"
3a00f6fb2f95b8b6370f89e1eb34270e,I didn't like this purchase.,"A women's watch came instead of the men's watch I ordered, I canceled and returned what I received and also about the reversal and I received no response."
95b9c4b17b4535a8dcde77ea466a6054,Excellent,I really like shopping with Lannister stores. They are reliable.
d28e1eb3775ed44c9bd007dd301c7bae,Cover came in the wrong color,"I bought the cover in black, but I received it on 07/23/2018 in white, I would like to exchange it, since the product came in the wrong color."
110e233ff43f651ddca445e80d6746cf,Very good,Product arrived well before expected date
dbf6e27fafcec3228eb84ad6c0008fc3,Fast and accurate.,Excellent store...fast shipping and right product.
c133af9cde2b253efaea865171bd9991,Great.,"I recommend everyone to buy products from Lannister, my purchase was delivered satisfactorily and on time."
0a15d67adfc5bd4b56e19f9f75c7a23e,Very good,The product arrived before the expected time
a44891f74fe94f29dbbfa6f7b60cceba,Very good !,Fast even came with a toast! top
89411999cf6c8324d7e03f39b5eb6e9d,Excellent,Purchase operating system easy to handle and understand. Fast delivery and the meter purchased corresponds to the advertisement. Would buy again.
712d37ca4d8dd3ac08c756c646b512cb,Good product,The product arrived on time and in perfect condition!
4d3ff9f8c57cc584747eb184ef4cdebe,Top!!!!,Get in super fast!
cde63556ef00a605bff898ceb2f4d559,highly recommend,Everything as arranged.
ccc0262ad37ca5bfb21f5a0157cd1acd,I recommend,"The delivery was carried out correctly, within the agreement. The product came perfect and in usable condition."
9d25a54a1a44411d1adf1a5fa4557445,Great service,trusted store
f243d526bec037fe86c0606361fda1fe,I enjoyed the experience,"First time I buy online and I don't regret it.
It arrived on time."
5808ad5da44e92c2d7d60b57e961b57f,DIFFERENT PRODUCT,"I received a brush from another brand.
I can't solve the problem.
Terrible customer service from Lannister and partner stores!!!"
d713665425af0b92768a22b383c0e4e8,I recommend,"It arrived very quickly and it looks good, I will only find out with use, the cover for the 3-seater sofa came a little smaller, the width came at 1.46, but the 2-seater sofa came in the right size."
223947ec19f3829f3c06e8263e0cbc04,highly recommend,The product is as per the photo. met all my expectations. Super Indica
1d06e8e642b2eda9b461648478096145,I recommend,"Great, accurate product, delivered on time, all ok."
4ae27b71d52f5e00dfd42d7a2e555077,highly recommend,very good product and arrived perfect
4b00a56d9183c6e052113cd523d5ce95,I highly recommend,Fantastic
c12920cdfe6908d5339800e458611a89,disproportionate freight,"When buying 11 bins, I had to pay shipping individually, as if I had only purchased 1 bin. Stark could have built 1 bigger box with the 11 trash cans inside which would have been cheaper"
f56e4f3100321c260eaf9eb02800945a,OK,OK
4ce0959b9c77f8d6ab978aab4e63aafe,Very good,Perfect
a3c8279e3602ca6080c5f62f6cbee83e,Terrible attendance,"I received the wrong product a week ago. I accepted but the value of the product delivered is less. I asked for a refund but so far nothing, it's been 9 days now"
f131d351ca82b5d6c47f6ad7627ce4ab,Excellent,"I received it before the delivery date, the American is to be congratulated, the rug is very good, the color is beautiful, I highly recommend it..."
9e62432358841c9b5857d463ba3a62a7,Very good product,great quality
182ef9e197469987085e5e9f7c60efc4,highly recommend,good product I like it a lot!
e1c810e80122f66bd35d9a7988413128,Congratulations,I bought it on Monday afternoon. Tuesday was a holiday and on Wednesday the product arrived at my house. Congratulations on the speed.
0cbb6c4a0dd218723fa235bf6941308c,Good product,The size is small and I realized later that the ad does not highlight the dimensions of the product. Falls short
80f4904de6f4a14856b35093fa5cb4ff,Perfect!!,Delivery was made even before the established deadline. Well packaged and approved product
4ce356e500322a6632aeb92e8225fb27,poorly made product,"Badly made product, crooked, with poorly made welds."
46bbfd645772dfa7bc83035076a4e95e,Defective product,I bought a product that is defective and I can not exchange the error on the site.
82f3d60973b20aa2d1095cba2c851035,great product,"Beautiful pillow, beautiful color and big. I made an excellent purchase."
b4b5ada90c525bf54d28d2133f868b07,I recommend,Everything is OK
2df16bb02cd90f26e6c9ac0ce501e004,I recommend,"I've always bought it and I don't have a problem, but this time my products haven't arrived so far"
a5c0a22f52db60dc11e135423c87021d,highly recommend,"Service note 10. Product of great quality and respected delivery time, in fact it arrived much earlier than the time given initially! Congratulations."
50159be3324818783d2662534eb31484,good,the product is good the delivery is fast;but very expensive shipping.
28983631affcc1f633e6a5b04ee723ab,super,very good
f2625714a147f2377d6f1c214b666bcd,Good,"Only one inside the charger terminal is not compatible with the sockets currently in use, requiring an adapter. I ask you to forward a compatible connector.
Hugs"
f2395ab617ccf04f0c89abfd9f0334b1,Information\concerned,"My evaluation is this one because here it appears that I received the product and it still hasn't arrived at home. Please, I want to know what's going on???
Yours sincerely,
Juliana"
699013a9a3324862ca1aa07c89679f75,Different,Material inferior than shown in the picture.
637bcba6669f1b87fa078c4caf8fd6bc,Horrible,I bought one thing and they gave me another and I can't make the exchange and I can't talk to the center!
bd18a1f51bf6a86608ffcbb27b30d81f,I recommend,arrived correct and before the deadline
c10020f3c375b6436c06fd102ffabcc5,Product and Deadline,Great product and delivery time.
d3528a742597c34852a6a0b3883f8686,Regular,"Very bad product, you can't even see the time properly because the number is so small you can hardly see it properly"
924a33c29c843f951fe214b8c960dd41,always meeting deadlines,Always fast and accurate delivery.
63d4cd537ea1c0c80afcad5438727f8b,I recommend!!,Product delivered on time.
a4e7d6a1260c131f9b82932b6e1870ff,excellent,Very good cell phone I liked it very fast and super light I recommend it.
d04bfe3b90e5436b03b65e86d8b6e62d,I recommend.,"Despite the delay in delivery. For the most part, everything was fine."
5916aa36ba691b7414bad28e12bdef9b,Very good!,Material delivered on time.
1e972e14bb9d496fef92eddd3dce4cef,Did not arrive,I ordered two kits and only one arrived and the other did not arrive
ddc759e1ad3f1b49030ab3b319e630f6,highly recommend,I installed it and it's working perfectly!
597fdf5941886030050d9b55218a7298,highly recommend,"I loved the product, very good"
72281e01572ea3033177c33df09d8a36,good,good
0f939963c4fb3ffe911dfa9ad81bb4ae,Recommend very good .,"I loved the product, it's beautiful very well made.. it arrived very quickly."
8471ae8ca269a22195387af8742febbe,recommended,It's a good supplier. Nothing to complain.
653ba0acdd44d5817cece9edb11262b8,satisfied,I received the product in good condition and earlier than expected.
a680a3d25f6ed03cb95ee27381b9226a,Great,I loved
36837ea9abaeedad88f43e44562a224f,very good,The product arrived within the deadline.
82b107a13d3a3593f7895ae91e22ef4f,Good,Good product my princess approved ??🐕
509dcafaeae00d95a643eeafc89856d4,highly recommend,"It arrived super fast... the product is excellent, I'm going to buy 3 more to give as gifts."
9e3ef52c33d9bb0445f0bddb3df4b1ea,Bought 4 arrived only 3,"I bought 4 products, and I only received 3. There was a white sheet without an elastic band. It was almost R$100.00. And how am I? I do not harm?"
26ccedab64af303bfa98ffe1765572e0,Excellent,All very well!
0a89163ec3c6af777389064b6fced13d,satisfied,satisfied
2cac90028ecd6155aa340e75c08250e6,Excellent,good is reliable
4ba3541e47a2b1d05b3b54ccf81bca69,Very good!,"I liked the Phone because it has good sound quality, I stayed a few hours (+ or - 3 hours) with it connected to the cell phone and nothing asked to charge it. I haven't tested the radio yet, but I believe it's ok."
418e343cb83ada7758da2d5657e15ce2,I received the wrong product,I bought Iso X and got Nitro Hard
cbb42226e710cb0c55821f3d0744bfe5,excellent joja,"I've been shopping at the store for a long time, I recommend it!"
e7b22b33f3399ab9106214f86e5edf6d,Failed to translate,I haven't received my curtain yet
52036c75532f45811c3cb4cd01b974a4,Cousin of 10 valuation,I received it before the deadline this year I will buy it again with you
27ee3ed83aa2e944fe7a148aeb20059d,Good,I recommend buying from this store.
241f4183343d4770305a5a15942e172c,Great,highly recommend
a9060f20a024434c1f97346a09b3cbd8,Worse quality than camel,I bought a Creeper Minecraft plush and the store quality is 1.99. When you call the SAC you can't talk to anyone.
3048ab17e39285ed6f995b5dcd0e74db,Too bad,"I bought 6 cartridges, I received only 4 units after the delivery deadline, and until today I'm trying to get in touch for a solution, but without success."
b4703efbbe55824f6f4dc1d3b86f08c0,I recommend,All up....thank you
1c7b9ad19f9b7734ab300c4f9e9423af,different composition,"In the product description it is indicated that it has upper and lower fabric of 100% cotton, but in fact they are 80% cotton 20% polyester.
Misleading advertising."
dc65e869fad0ec17d4607548d2a5d131,highly recommend,"Total satisfaction, product, quality, delivery time as requested and scheduled."
86349933ffb523f45e0be79472cb8144,BAD SERVICE,I've asked for a refund but so far nothing. They sent the wrong product and now they say that the exchange cannot be made.
df6b9d8caa70496d75d1fc41531ee670,Sadness,"I bought, waited, waited and still nothing.
I still have hope. Who knows, maybe there was a problem that could be solved."
ab061028836dc7b93072f1a6938b1131,Wallpaper,I received the product before the delivery date. Great quality product
